# DRO_SourceID DetLink DetSlot DetCrate DetID DRO_Host DRO_Card DRO_SLR DRO_Link 
0 0 0 1 3 localhost 0 0 0
1 1 0 1 3 localhost 0 0 1
2 0 1 1 3 localhost 0 0 2
3 1 1 1 3 localhost 0 0 3
4 0 2 1 3 localhost 0 0 4
5 1 2 1 3 localhost 0 1 0
6 0 3 1 3 localhost 0 1 1
7 1 3 1 3 localhost 0 1 2
8 0 4 1 3 localhost 0 1 3
9 1 4 1 3 localhost 0 1 4
10 0 0 2 3 localhost 1 0 0
11 1 0 2 3 localhost 1 0 1
12 0 1 2 3 localhost 1 0 2
13 1 1 2 3 localhost 1 0 3
14 0 2 2 3 localhost 1 0 4
15 1 2 2 3 localhost 1 1 0
16 0 3 2 3 localhost 1 1 1
17 1 3 2 3 localhost 1 1 2
18 0 4 2 3 localhost 1 1 3
19 1 4 2 3 localhost 1 1 4
